alpha,beta,sigsqr,mu0,usqr,wsqr,ximean,xisig,corr
-4.600678915498577,-0.246531190837256,0.18339570633902436,0.19704086730984205,0.36828470455109763,0.10799112971716915,0.09141910890565383,0.9019152752187829,-0.4608007400193008
-4.542513286418016,-0.10361590235632782,0.20058739821491478,-0.4818129500766636,0.87611872390665,0.07173959823543935,-0.005402280917749552,0.7231826723590585,-0.16501657985507587
-4.625333555410896,-0.10469090931196623,0.15415710069170366,0.1596262198638428,0.6476816887494107,0.0814449293481844,0.01669050163048047,0.7418729931190613,-0.194053623043317
-4.631589094053948,-0.2197973869695878,0.1886895600484345,0.44825796468116774,0.8398114379462484,0.17875919745153904,0.12611297056572757,0.9410760782830752,-0.4299276232361505
-4.523433237817821,-0.08029774413216827,0.1956443439829022,-0.11125053853866514,0.08505938224615753,0.12651682403786788,-0.01047149226895322,0.8296759747611012,-0.14893853288311004
-4.60097446621424,-0.19817942208705433,0.1457509300478009,-0.1804429287497779,0.05693874405388024,0.08698825887366327,-0.07986173118421522,0.8604815803547632,-0.40784065321449897
-4.597617885009741,-0.20099277875981897,0.18119119000337397,0.19474387675319155,0.07633925132739543,0.048074350001498685,0.048768460718076986,0.6771517422024614,-0.3045516747698195
-4.601865355060607,-0.13570015444271502,0.2661211048496355,0.19524340741372723,0.661116236574129,0.11142750734599599,0.14983222764636533,0.8615799474042183,-0.22103415110661645
-4.609715387449679,-0.22203400683788943,0.22033231937548323,0.5410124915448932,0.12548925816006604,0.07691966776503562,-0.0014473058012567236,0.8703381282702075,-0.3806893030063242
-4.680366220468878,-0.09315389081749084,0.19176775275008984,0.26340742890564567,0.43395809359359805,0.036411770191686794,0.02202947769813325,0.7969313622173844,-0.16714045229458638
-4.583531395351456,-0.2899343484262482,0.1668664282431835,0.4899046181467053,0.5281253242234252,0.18745229741539587,0.09540577638659606,0.9133303033539834,-0.5439560995047948
-4.5953061152729875,-0.19627261987989966,0.26513892613302,-0.25735996349700563,0.974024707858359,0.06907224855886264,-0.05100133133191652,0.8124834287632801,-0.2958350010793506
-4.587638751327144,-0.31653265823293375,0.23861672239926002,0.5130637959403886,0.9479625664972992,0.14557000163135406,0.3852207209950004,1.0652608153465293,-0.5680802698250855
-4.587882411679915,-0.20372765565979076,0.16605886445796345,1.123341969847879,0.3821838692799477,0.04934281534786091,0.062115222197815095,0.7915654214200306,-0.3679703593003479
-4.628677754910036,-0.21811648615074897,0.2239822688151878,0.46294147094090304,0.9367366010192308,0.1654707998383997,0.04278978525924654,0.8624219252949561,-0.3693608636761836
-4.526514052701305,-0.09359773786230388,0.20293014733964787,-0.14969615380787665,0.4482875450626956,0.1968618215689437,0.14697491782023756,0.940291290291665,-0.19174342723237553
-4.601361575842517,-0.19546442454059249,0.24477942397320993,-0.5669165413424354,0.22832572824552963,0.02291828276880848,-0.018395668547036614,0.6863768276160404,-0.26171888736045695
-4.556427302867541,-0.17405339098172998,0.19320998998394878,0.07480815741703686,0.6714489338328138,0.06746068363874246,-0.013410403138739369,0.93604057748855,-0.34754376950712856
-4.475010965819936,-0.23038051363084966,0.17077175505863187,0.0800999169072663,0.2019303384715461,0.12554993451614338,-0.003393589749632636,0.669769966540063,-0.34980125818780566
-4.510510407356778,-0.24891829727299092,0.20371463147519756,-0.03294810956954016,0.33435408417272483,0.12126006071216644,0.14904550865245578,0.8097983539797785,-0.4077843906968237
-4.639669984863199,-0.11533685077316182,0.16862200108604278,-0.8112442124869713,0.45627077901633595,0.022845241899355755,0.2440806261228197,0.883282267899611,-0.24079111615571866
-4.503079894076432,-0.233094534939343,0.17752748832215057,-0.7173265772453077,0.46742683035978166,0.06244774559453934,0.08187825922799027,0.7418845883756371,-0.37969121709325554
